id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4540924,Rental unit in Hino-shi · ★4.51 · 1 bedroom · 3 beds · 1 bath,23416902,Naga,,Hino Shi,35.68587,139.39428,Entire home/apt,8506,5,40,2023-06-06,0.39,2,339,5,M130008297
2883753,Rental unit in 足立区 · ★4.33 · 1 bedroom · 3 beds · 1 bath,9360394,Vann Amor,,Adachi Ku,35.791368746081226,139.79204721255772,Entire home/apt,12200,7,3,2018-11-29,0.05,4,83,0,M130004931
4606903,Rental unit in Mitaka-shi · ★5.0 · 1 bedroom · 2 beds · 1 private bath,23871736,Matsuda,,Mitaka Shi,35.680981,139.538055,Private room,23571,3,26,2023-05-31,0.30,2,107,3,M130004784
2883869,Rental unit in 足立区 · ★4.60 · 1 bedroom · 1 bed · 1 bath,9360394,Vann Amor,,Adachi Ku,35.79166,139.79285,Entire home/apt,6266,7,5,2023-05-05,0.05,4,83,1,M130004934
3085134,Home in Shibuya · ★4.74 · 2 bedrooms · 4 beds · 1.5 baths,10415965,Azabu,,Shibuya Ku,35.65174,139.72175,Entire home/apt,46714,9,136,2023-06-14,1.24,2,235,13,M130003771
4616579,Rental unit in Nakano-ku · ★4.84 · 1 bedroom · 1 bed · 1 bath,17736560,タツロウ (Taturo),,Nakano Ku,35.73414,139.63305,Entire home/apt,10091,3,79,2023-05-06,0.78,9,90,6,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
3235958,Rental unit in Itabashi-ku Narimasu · ★4.77 · 1 bedroom · 1 bed · 1 bath,16241464,Kaori,,Itabashi Ku,35.78156,139.63309,Entire home/apt,6000,1,97,2023-05-16,0.91,2,0,8,M130000056
4673248,Rental unit in Mitaka-shi · ★4.89 · 2 bedrooms · 4 beds · 2 baths,23871736,Matsuda,,Mitaka Shi,35.680981,139.538055,Entire home/apt,25571,3,40,2023-06-20,0.40,2,100,3,M130004785
4691157,Home in Higashimurayama-shi · ★4.95 · 2 bedrooms · 1 bed · Shared half-bath,22643572,Sachiko,,Higashimurayama Shi,35.75619,139.48071,Private room,4214,3,19,2023-05-29,0.32,2,43,1,
3339222,Rental unit in 板橋区成増 · ★4.63 · 1 bedroom · 2 beds · 1.5 baths,16241464,Kaori,,Itabashi Ku,35.77932,139.63338,Entire home/apt,6000,1,60,2023-06-23,0.63,2,61,8,M130000055
3364169,Rental unit in 台東区 · ★4.73 · 1 bedroom · 4 beds · 1 bath,16973429,Hirano San,,Taito Ku,35.7223,139.80049,Entire home/apt,10000,5,131,2023-06-05,1.21,2,208,6,M130000147
4750169,Rental unit in Hino-city · ★4.45 · 1 bedroom · 3 beds · 1 bath,23416902,Naga,,Hino Shi,35.68548,139.39496,Entire home/apt,9963,5,44,2020-01-17,0.44,2,149,0,M130008296
3372902,Rental unit in Meguro-ku · ★4.58 · 2 bedrooms · 2 beds · 1 bath,17018818,Miri,,Meguro Ku,35.61728,139.6679,Entire home/apt,6800,2,142,2023-06-20,1.31,1,181,6,M540000008
4813245,Townhouse in Toshima-ku · ★4.61 · 3 bedrooms · 4 beds · 1 bath,9782688,Kevin,,Toshima Ku,35.73055,139.68657,Entire home/apt,26217,4,146,2023-05-29,1.44,5,233,4,M130006713
3409030,Home in Shinjuku · ★4.68 · 1 bedroom · 1 bed · 1.5 baths,17190614,Shu,,Shinjuku Ku,35.6989,139.69824,Entire home/apt,7700,30,161,2022-12-04,1.47,1,0,2,M130000855
4817291,Rental unit in Taito-ku · ★4.95 · 1 bedroom · 2 beds · 1 bath,23595333,Keiko,,Taito Ku,35.72804,139.79048,Entire home/apt,14000,3,279,2023-04-15,2.74,2,76,7,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第219号
6803014,Home in 港区 · ★4.94 · 1 bedroom · 1 bed · 1 bath,35614067,Kan,,Minato Ku,35.63612,139.72575,Entire home/apt,27000,3,161,2023-06-23,1.66,1,250,19,M130002333
4825779,Rental unit in Shibuya City · ★4.61 · Studio · 1 bed · 1 bath,24812892,Mao,,Shibuya Ku,35.67744,139.68058,Entire home/apt,13143,1,275,2023-06-14,2.66,1,67,37,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3946号
6805147,Townhouse in 足立区 · ★4.64 · 4 bedrooms · 4 beds · 3 baths,35623696,巍,,Adachi Ku,35.76922,139.77947,Entire home/apt,20000,2,95,2023-06-27,1.00,1,145,10,M130002089
4849854,Villa in Hachioji · ★4.85 · 2 bedrooms · 2 beds · 1 bath,400207807,さやか,,Hachioji Shi,35.63738,139.2863,Entire home/apt,17571,2,169,2023-04-28,1.63,1,320,13,M130001407
4888140,Rental unit in Kita · ★4.45 · 1 bedroom · 4 beds · 1 bath,19152993,Sei,,Kita Ku,35.76117,139.71597,Entire home/apt,10600,3,210,2023-05-22,2.07,8,88,14,M130004685
6812578,Home in Shinagawa-ku · ★4.92 · 1 bedroom · 2 beds · 1.5 baths,26386727,Mami,,Shinagawa Ku,35.62302,139.70141,Private room,8014,2,228,2023-06-15,2.38,1,8,33,
4917347,Rental unit in Katsushika · ★4.93 · 1 bedroom · 5 beds · 1.5 baths,7740848,K Family,,Katsushika Ku,35.73816,139.85174,Entire home/apt,14614,1,287,2023-04-27,2.80,5,18,19,M130002147
6837981,Loft in Sumida-ku · ★4.74 · 1 bedroom · 2 beds · 1 bath,33170407,Hiroyoshi,,Sumida Ku,35.71848,139.81109,Entire home/apt,12857,1,70,2023-06-20,0.72,12,26,18,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
4925503,Rental unit in Shibuya-ku · ★4.60 · 1 bedroom · 2 beds · 1 bath,25370510,Mitsuko,,Shibuya Ku,35.67923,139.67571,Entire home/apt,8286,2,188,2023-06-21,2.15,6,46,15,M130002439
6838363,Loft in Sumida-ku · ★4.74 · 1 bedroom · 4 beds · 1 bath,33170407,Hiroyoshi,,Sumida Ku,35.71893,139.81294,Entire home/apt,12857,1,76,2023-06-23,0.79,12,33,28,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
4925745,Home in Taitou-ku · ★4.93 · 2 bedrooms · 3 beds · 1 bath,23595333,Keiko,,Taito Ku,35.72951,139.79137,Entire home/apt,27000,2,317,2023-06-22,3.25,2,130,51,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第220号
6838964,Loft in Sumida-ku · ★4.77 · 1 bedroom · 2 beds · 1 bath,33170407,Hiroyoshi,,Sumida Ku,35.72,139.81074,Entire home/apt,12857,1,66,2023-06-29,0.68,12,21,24,Hotels and Inns Business Act | 東京都墨田区保健所 | 27墨福衛生環第213号
4926317,Rental unit in Shibuya-ku · ★4.50 · 1 bedroom · 1 bed · 1 bath,25370510,Mitsuko,,Shibuya Ku,35.68068,139.6753,Entire home/apt,10000,2,273,2023-06-12,2.66,6,49,4,M130003221
6854721,Home in Kōtō-ku · ★4.92 · 2 bedrooms · 2 beds · 1 bath,21769906,Decoboco,,Koto Ku,35.67986,139.81736,Entire home/apt,12429,1,146,2023-06-25,1.50,3,126,15,Hotels and Inns Business Act | 東京都江東区保健所 | 30江健生環き第１１１号
4926426,Rental unit in Shibuya-ku · ★4.59 · 1 bedroom · 1 bed · 1 bath,25370510,Mitsuko,,Shibuya Ku,35.67933,139.67511,Entire home/apt,8571,2,230,2023-06-19,2.32,6,60,2,M130002430
6856801,Rental unit in Suginami-ku · ★4.75 · 1 bedroom · 1 bed · 1 bath,18776800,LiveinAsia,,Suginami Ku,35.70402,139.5977,Entire home/apt,14714,3,55,2023-06-21,0.60,19,132,9,M130002746
6859825,Home in Kita-ku · ★4.26 · 1 bedroom · 2 beds · Shared half-bath,24219962,Hiroya,,Kita Ku,35.75788,139.72153,Private room,5000,3,46,2023-05-22,0.47,3,5,6,
4958750,Home in Edogawa-ku · ★5.0 · 1 bedroom · 4 beds · 1 private bath,20993205,Seiichi & Keiko,,Edogawa Ku,35.73673,139.88586,Private room,6500,5,99,2020-02-26,0.99,1,55,0,
6874108,Rental unit in Shinjuku-ku · ★4.60 · 2 bedrooms · 2 beds · 1.5 baths,269182185,Sumifuku,,Shinjuku Ku,35.70159,139.70653,Entire home/apt,19573,1,160,2023-06-24,1.66,23,6,11,M130001802
5070495,Rental unit in Nakano-ku · ★4.81 · 1 bedroom · 1 bed · 1 bath,17736560,タツロウ (Taturo),,Nakano Ku,35.73496,139.63132,Entire home/apt,10091,3,81,2023-05-01,0.80,9,90,7,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5080877,Home in Koto-ku · ★4.90 · 2 bedrooms · 2 beds · 1 bath,21769906,Decoboco,,Koto Ku,35.68162,139.81859,Entire home/apt,6500,1,234,2020-02-27,2.29,3,0,0,Hotels and Inns Business Act | 江東区保健所 | ３０江健生環き第８５号
6875368,Home in Taito-ku · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,35340956,Yoshio,,Taito Ku,35.72413,139.77771,Private room,5500,2,144,2023-06-26,1.49,2,81,24,
6914633,Loft in 杉並区 · ★4.76 · 2 bedrooms · 2 beds · 1 bath,33705289,Tomomasa,,Suginami Ku,35.70565,139.65262,Entire home/apt,7800,1,250,2023-06-01,2.58,3,77,24,M130001781
5128293,Rental unit in 新宿区 · ★4.87 · 1 bedroom · 8 beds · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70276,Shared room,5980,2,156,2023-06-18,1.53,11,187,20,M130002186
6939941,Hostel in Kōtō-ku · ★4.58 · 1 bedroom · 1 bed · 1 shared bath,30883070,Takeshi,,Koto Ku,35.68288,139.81552,Private room,5450,1,363,2023-06-12,3.73,37,81,41,Hotels and Inns Business Act | 東京都江東区保健所 | ２８江健生環き第１０４号
5198467,Home in Bunkyō-ku · ★4.79 · 2 bedrooms · 5 beds · 1 bath,25911199,Aya,,Bunkyo Ku,35.72129,139.76323,Entire home/apt,34800,3,47,2023-06-14,0.46,1,297,11,M130017222
5210118,Rental unit in Shibuya-ku · ★4.47 · Studio · 1 bed · 1 bath,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,9846,2,228,2021-07-10,2.27,4,0,0,M130005397
6975801,Rental unit in Shibuya-ku · ★4.38 · Studio · 1 bed · 1 bath,36396507,Yuka,,Shibuya Ku,35.67681,139.67929,Entire home/apt,12286,1,184,2023-06-11,1.90,5,83,22,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3881号
5217466,Rental unit in Nakano-ku · ★4.83 · 1 bedroom · 1 bed · 1 bath,17736560,タツロウ (Taturo),,Nakano Ku,35.73404,139.63128,Entire home/apt,10091,3,100,2023-05-29,0.98,9,90,13,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5240174,Rental unit in Shibuya-ku · ★4.52 · Studio · 1 bed · 1 bath,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,9264,2,195,2021-12-30,1.94,4,0,0,M130005396
7038511,Villa in Nerima-ku · ★4.82 · 1 bedroom · 1 bed · 2 shared baths,29681737,文娟,,Itabashi Ku,35.76456,139.67015,Private room,7537,1,57,2023-05-23,0.59,6,342,6,
5262640,Rental unit in Nakano-ku · ★4.83 · 1 bedroom · 1 bed · 1 bath,17736560,タツロウ (Taturo),,Nakano Ku,35.73445,139.63139,Entire home/apt,10091,3,60,2023-05-11,0.60,9,90,8,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5262658,Rental unit in Nakano-ku · ★4.84 · 1 bedroom · 1 bed · 1 bath,17736560,タツロウ (Taturo),,Nerima Ku,35.73588,139.63159,Entire home/apt,10091,3,127,2023-05-23,1.25,9,90,10,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
7038653,Home in Nerima-ku · ★4.93 · 1 bedroom · 1 bed · 3 baths,29681737,文娟,,Nerima Ku,35.76288,139.66803,Private room,7880,1,15,2023-04-02,0.16,6,25,1,
7038739,Villa in Nerima-ku · ★5.0 · 1 bedroom · 2 beds · 2 shared baths,29681737,文娟,,Nerima Ku,35.76455,139.66829,Private room,8251,1,30,2023-05-20,0.31,6,319,6,
5407938,Rental unit in Shinjuku-ku · ★4.94 · 1 bedroom · 4 beds · 1 bath,28035085,Koichi,,Shinjuku Ku,35.69346,139.70823,Entire home/apt,10000,2,284,2021-04-11,2.82,2,0,0,M130004171
7043818,Rental unit in Shinjuku-ku · ★4.88 · 2 bedrooms · 2 beds · 1 bath,34076095,Yumi,,Shinjuku Ku,35.68804,139.72024,Entire home/apt,23168,5,158,2023-06-28,1.63,1,134,12,M130004881
5410242,Rental unit in Suginami-ku · ★4.88 · 1 bedroom · 2 beds · 1 bath,28045851,Steve,,Suginami Ku,35.70055,139.60022,Entire home/apt,10688,4,58,2023-06-10,0.64,1,124,6,M130000018
7057399,Rental unit in Edogawa-ku · ★4.68 · 1 bedroom · 2 beds · 1 bath,37012733,Mariko,,Edogawa Ku,35.70208,139.84227,Entire home/apt,4300,6,56,2023-06-06,0.64,3,22,8,M130005528
7123125,Condo in Minato-ku · ★4.90 · 2 bedrooms · 2 beds · 1 bath,37312047,Kae,,Minato Ku,35.65681,139.75271,Entire home/apt,25000,30,68,2023-05-20,0.71,4,168,2,M130009797
5464293,Rental unit in Suginami-ku · ★4.45 · Studio · 2 beds · 1.5 baths,28340699,Kimmy And Dee,,Suginami Ku,35.70459,139.63712,Entire home/apt,11000,2,147,2023-05-09,1.46,6,299,13,Hotels and Inns Business Act | 杉並区杉並保健所 | 31杉保衛環第50号
5464305,Rental unit in Tokyo-to Suginami-ku · ★4.40 · Studio · 1 bed · 1 bath,28340699,Kimmy And Dee,,Suginami Ku,35.70656,139.63583,Entire home/apt,9500,2,147,2023-06-05,1.47,6,306,14,Hotels and Inns Business Act | 東京都杉並区保健所 | 31杉保衛環第50号
7136098,Loft in 杉並区 · ★4.66 · 2 bedrooms · 2 beds · 1 bath,33705289,Tomomasa,,Suginami Ku,35.70522,139.65431,Entire home/apt,7800,1,102,2023-05-28,1.06,3,114,7,M130001777
7149882,Rental unit in Toshima-ku · ★4.65 · 3 bedrooms · 8 beds · 1.5 baths,29253527,Momo,,Toshima Ku,35.73334,139.70837,Entire home/apt,28000,2,171,2023-06-14,1.78,8,56,24,Hotels and Inns Business Act | 東京都豊島区池袋保健所 | 元豊池保衛環き第81号
